iter	Passed	Remaining
0	138	138225
1	140	70237
2	143	47529
3	144	36104
4	147	29285
5	149	24739
6	152	21620
7	154	19174
8	156	17221
9	159	15770
10	161	14512
11	163	13469
12	166	12660
13	170	12042
14	173	11400
15	175	10798
16	178	10314
17	181	9883
18	200	10348
19	211	10358
20	214	10002
21	221	9860
22	225	9597
23	230	9383
24	234	9154
25	243	9113
26	253	9127
27	256	8889
28	258	8664
29	261	8468
30	264	8276
31	272	8228
32	275	8081
33	293	8347
34	298	8229
35	302	8100
36	306	7972
37	309	7844
38	313	7717
39	316	7606
40	320	7503
41	324	7396
42	328	7303
43	331	7202
44	334	7088
45	337	6990
46	339	6881
47	342	6788
48	344	6682
49	347	6605
50	352	6559
51	356	6498
52	360	6442
53	363	6362
54	366	6291
55	369	6221
56	371	6151
57	373	6073
58	377	6025
59	381	5982
60	384	5922
61	387	5866
62	390	5803
63	392	5742
64	395	5690
65	399	5656
66	403	5625
67	406	5577
68	410	5541
69	415	5513
70	423	5543
71	430	5542
72	434	5512
73	437	5474
74	440	5434
75	442	5385
76	445	5345
77	448	5305
78	451	5260
79	453	5211
80	455	5169
81	458	5131
82	460	5087
83	464	5064
84	469	5048
85	472	5021
86	476	5001
87	479	4971
88	482	4934
89	484	4894
90	487	4866
91	489	4832
92	492	4799
93	495	4771
94	497	4738
95	500	4709
96	504	4692
97	506	4666
98	509	4633
99	511	4601
100	513	4569
101	516	4547
102	520	4531
103	522	4505
104	525	4481
105	531	4480
106	537	4484
107	539	4456
108	541	4427
109	543	4397
110	546	4380
111	549	4354
112	551	4327
113	553	4299
114	555	4272
115	558	4255
116	559	4226
117	564	4215
118	566	4192
119	568	4170
120	570	4145
121	572	4118
122	574	4093
123	576	4075
124	579	4056
125	582	4041
126	585	4021
127	587	3999
128	590	3985
129	594	3975
130	597	3962
131	599	3943
132	602	3924
133	604	3904
134	607	3890
135	610	3875
136	612	3855
137	614	3835
138	615	3815
139	617	3794
140	619	3775
141	621	3755
142	624	3740
143	625	3720
144	627	3702
145	630	3686
146	632	3667
147	634	3650
148	637	3641
149	640	3628
150	642	3611
151	645	3599
152	647	3586
153	650	3573
154	653	3565
155	657	3557
156	661	3550
157	663	3537
158	667	3529
159	671	3522
160	675	3519
161	679	3516
162	684	3514
163	687	3502
164	688	3485
165	690	3471
166	692	3455
167	694	3440
168	698	3432
169	723	3533
170	726	3520
171	729	3511
172	733	3504
173	735	3493
174	739	3485
175	741	3473
176	744	3463
177	749	3459
178	752	3449
179	755	3440
180	759	3435
181	763	3429
182	767	3425
183	773	3428
184	778	3428
185	783	3430
186	787	3422
187	791	3417
188	794	3410
189	797	3397
190	800	3389
191	803	3382
192	807	3376
193	812	3373
194	816	3369
195	820	3364
196	824	3359
197	827	3352
198	834	3359
199	839	3358
200	845	3359
201	849	3356
202	853	3352
203	857	3345
204	861	3339
205	866	3339
206	870	3333
207	873	3325
208	876	3318
209	880	3310
210	882	3300
211	885	3290
212	889	3286
213	895	3288
214	901	3291
215	904	3284
216	907	3274
217	910	3264
218	913	3257
219	918	3254
220	923	3255
221	929	3257
222	932	3248
223	934	3239
224	937	3227
225	939	3218
226	943	3211
227	949	3213
228	954	3212
229	958	3208
230	961	3201
231	964	3193
232	970	3193
233	973	3187
234	977	3181
235	980	3173
236	985	3171
237	987	3163
238	991	3155
239	993	3146
240	996	3137
241	1000	3132
242	1002	3122
243	1004	3112
244	1006	3101
245	1009	3093
246	1012	3087
247	1016	3083
248	1020	3077
249	1023	3070
250	1026	3062
251	1028	3054
252	1033	3051
253	1036	3044
254	1039	3036
255	1043	3032
256	1047	3029
257	1053	3030
258	1059	3032
259	1062	3024
260	1066	3019
261	1069	3011
262	1071	3002
263	1073	2993
264	1077	2987
265	1080	2980
266	1082	2971
267	1084	2961
268	1086	2952
269	1090	2948
270	1092	2939
271	1094	2930
272	1096	2920
273	1098	2911
274	1100	2902
275	1103	2895
276	1106	2887
277	1108	2879
278	1111	2871
279	1113	2862
280	1115	2853
281	1117	2844
282	1120	2838
283	1122	2830
284	1124	2820
285	1126	2812
286	1128	2803
287	1130	2795
288	1133	2789
289	1136	2781
290	1138	2773
291	1141	2766
292	1144	2761
293	1146	2753
294	1149	2747
295	1152	2740
296	1154	2732
297	1156	2724
298	1158	2716
299	1160	2708
300	1163	2700
301	1166	2695
302	1169	2691
303	1173	2685
304	1175	2678
305	1179	2674
306	1182	2669
307	1185	2664
308	1188	2658
309	1193	2656
310	1199	2656
311	1203	2653
312	1205	2647
313	1208	2639
314	1211	2634
315	1213	2627
316	1215	2619
317	1217	2611
318	1219	2604
319	1223	2599
320	1226	2595
321	1230	2591
322	1234	2586
323	1237	2581
324	1240	2575
325	1242	2569
326	1246	2564
327	1248	2557
328	1250	2550
329	1252	2543
330	1256	2540
331	1261	2537
332	1264	2532
333	1266	2525
334	1269	2519
335	1273	2516
336	1275	2510
337	1278	2504
338	1280	2496
339	1283	2491
340	1285	2484
341	1287	2476
342	1289	2470
343	1291	2462
344	1293	2455
345	1295	2449
346	1298	2444
347	1300	2437
348	1302	2429
349	1305	2425
350	1308	2419
351	1311	2413
352	1316	2412
353	1319	2408
354	1322	2402
355	1325	2397
356	1330	2397
357	1335	2394
358	1340	2393
359	1345	2392
360	1348	2386
361	1350	2380
362	1352	2373
363	1355	2367
364	1358	2362
365	1360	2355
366	1362	2350
367	1366	2346
368	1368	2340
369	1371	2334
370	1374	2330
371	1376	2324
372	1378	2318
373	1381	2311
374	1383	2305
375	1385	2299
376	1388	2294
377	1391	2289
378	1394	2284
379	1397	2279
380	1399	2273
381	1401	2267
382	1405	2264
383	1407	2257
384	1409	2250
385	1411	2245
386	1413	2239
387	1416	2234
388	1421	2233
389	1426	2231
390	1431	2229
391	1436	2227
392	1438	2222
393	1441	2217
394	1443	2211
395	1446	2206
396	1450	2203
397	1453	2198
